case_id,reviewer,plan_a_likert,plan_b_likert,preference,comments
C01,"Alexandre Barros",1,4,B,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C02,"Alexandre Barros",1,4,B,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C03,"Alexandre Barros",1,1,N,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C04,"Alexandre Barros",4,1,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C05,"Alexandre Barros",1,1,N,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C06,"Alexandre Barros",4,2,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C07,"Alexandre Barros",2,4,B,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C08,"Alexandre Barros",4,1,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C09,"Alexandre Barros",4,1,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C10,"Alexandre Barros",1,1,N,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C11,"Alexandre Barros",4,3,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C12,"Alexandre Barros",1,1,N,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C13,"Alexandre Barros",3,4,B,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C14,"Alexandre Barros",1,1,N,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C15,"Alexandre Barros",4,1,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C16,"Alexandre Barros",4,1,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C17,"Alexandre Barros",1,4,B,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C18,"Alexandre Barros",1,4,B,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C19,"Alexandre Barros",4,2,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C20,"Alexandre Barros",1,4,B,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C21,"Alexandre Barros",1,4,B,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C22,"Alexandre Barros",1,1,N,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C23,"Alexandre Barros",1,1,N,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C24,"Alexandre Barros",4,1,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C25,"Alexandre Barros",3,1,A,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C26,"Alexandre Barros",1,1,N,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
C27,"Alexandre Barros",1,3,B,"Mais dados para decisão humana. Por exemplo, não tenho dados sobre perfil respiratório para integrar na decisão terapêutica. "
feedback_realism,"Alexandre Barros",,,,"Os cenários são pobres para decisão sobre ventilação e vasopressor. Mais variáveis clínicas são necessárias para tomada de decisão humana. Sobre o alvo (desfecho primário medido) é questionável a real validade dele, no seguinte sentido: objetivar estes valores de PAD mudam o cenário de alguma forma?  Sem dados adicionais é praticamente impossível definir sobre ventilação mecânica. "
feedback_patterns,"Alexandre Barros",,,,"Sim. Pacientes com PAD dentro da normalidade, ""não fazer nenhuma intervenção"" parece ser o melhor. "
feedback_info,"Alexandre Barros",,,,"Gasometria arterial, lactato, dados vitais, diagnóstico inicial do paciente, comorbidades, idade. "
feedback_other,"Alexandre Barros",,,,"A definição precisa de desfechos significativos; mais uma vez, qual o significado desta predição? PAD isolada, o que ela diz sobre o paciente? "
